Occupation Title,ESCO Code,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge),
ICT intelligent systems designer,2511.1,"ICT intelligent systems designers apply methods of artificial intelligence in engineering, robotics and computer science to design programs which simulate intelligence including thinking models, cognitive and knowledge-based systems, problem solving, and decision making. They also integrate structured knowledge into computer systems (ontologies, knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods.","AI system designer, linked data engineer, intelligent systems developer, semantic technologies engineer, designer of intelligent systems, machine learning systems designer, intelligent systems engineer, intelligent system designer, intelligent systems designers, artificial intelligence designer","analyse business requirements, develop creative ideas, define technical requirements, assess ICT knowledge, design process, use markup languages, apply ICT systems theory, manage database, design application interfaces, manage ICT semantic integration, design database scheme","information structure, natural language processing, systems theory, web programming, task algorithmisation, principles of artificial intelligence, resource description framework query language, ICT security legislation, systems development life-cycle, business process modelling, database development tools","manage business knowledge, deliver visual presentation of data, build business relationships, manage ICT data classification","information categorisation, R, Haskell, computer programming, information architecture, Groovy, information extraction, Swift (computer programming), COBOL, Prolog (computer programming), N1QL, Perl, Scratch (computer programming), LINQ, Lisp, SAS language, VBScript, visual presentation techniques, Scala, ICT project management methodologies, TypeScript, Ruby (computer programming), Java (computer programming), data models, Lean project management, Process-based management, Python (computer programming), SAP R3, C++, Objective-C, Visual Studio .NET, Smalltalk (computer programming), PHP, Pascal (computer programming), Agile project management, ASP.NET, Erlang, ABAP, ML (computer programming), Common Lisp, MATLAB, APL, JavaScript, AJAX, SPARQL, CoffeeScript, unstructured data, business intelligence, C#, OpenEdge Advanced Business Language, Assembly (computer programming), data mining, Microsoft Visual C++",
database integrator,2521.4,Database integrators perform integration among different databases. They maintain integration and ensure interoperability.,"data base integrators, data base integrator, database integrators, data integrator, database development specialist","verify formal ICT specifications, integrate ICT data, manage data, perform data cleansing, implement data warehousing techniques, use interface description language, balance database resources, create database diagrams, execute integration testing, manage ICT legacy implication","information structure, query languages, ICT debugging tools, data extraction, transformation and loading tools, resource description framework query language, database management systems","use scripting programming, perform data mining, create solutions to problems, define data quality criteria, manage ICT semantic integration, define integration strategy, perform project management, execute ICT audits, write database documentation, design application interfaces, apply ICT systems theory","Filemaker (database management systems), SPARQL, Pentaho Data Integration, IBM InfoSphere Information Server, DB2, MySQL, QlikView Expressor, CA Datacom/DB, Oracle Data Integrator, business intelligence, LINQ, Oracle Relational Database, database, systems theory, SAP Data Services, IBM InfoSphere DataStage, SQL Server Integration Services, PostgreSQL, XQuery, LDAP, OpenEdge Database, Informatica PowerCenter, SQL Server, Oracle Warehouse Builder, IBM Informix, Teradata Database, Microsoft Access, MDX, ObjectStore, N1QL, systems development life-cycle",
ICT capacity planner,2523.1,"ICT capacity planners ensure that the capacity of ICT services and ICT infrastructure is able to deliver agreed service level targets in a cost effective and timely manner. They also consider all resources required to deliver the appropriate ICT service, and plan for short, medium, and long term business requirements.","ICT performance manager, ICT capacity planners, ICT capability manager, IT capability planner, IT capacity planner","forecast workload, provide cost benefit analysis reports, analyse business requirements, perform resource planning, plan ICT capacity, perform business analysis, develop financial statistics reports, carry out statistical forecasts, improve business processes, apply company policies, ensure adherence to organisational ICT standards","crowdsourcing strategy, outsourcing strategy, statistical analysis system software, ICT capacity planning strategies, ICT infrastructure, insourcing strategy","perform project management, coordinate technological activities, collect customer feedback on applications, execute ICT audits, design database scheme, use different communication channels, provide ICT consulting advice, create solutions to problems, use scripting programming, create database diagrams, manage ICT system deployment, perform ICT troubleshooting, provide user documentation, administer ICT system, design process","cloud technologies, ICT security standards, MDX, LDAP, query languages, LINQ, resource description framework query language, business process modelling, N1QL, XQuery, systems development life-cycle, labour legislation, SPARQL, ICT process quality models",
ICT application configurator,2514.1,"ICT application configurators identify, record, and maintain user-specific application configurations based upon user requirements and business rules. They configure generic software systems in order to create a specific version applied to an organisation's context. These configurations range from adjusting basic parameters through the creation of business rules and roles in the ICT system to developing specific modules (including the configuration of Commercial off-the-shelf systems (COTS)). They also document configurations, perform configuration updates, and ensure the configurations are correctly implemented in the application.","software application configurator, app configurator, application configurators, application software configurator","integrate ICT data, develop automated migration methods, create flowchart diagram, build business relationships, integrate system components, analyse software specifications, migrate existing data, provide technical documentation, debug software, use software design patterns, collect customer feedback on applications, develop software prototype, use software libraries","computer programming, integrated development environment software, ICT debugging tools, tools for software configuration management","use functional programming, use object-oriented programming, use automatic programming, use logic programming, provide ICT consulting advice, create solutions to problems, apply statistical analysis techniques, use concurrent programming, utilise computer-aided software engineering tools","Visual Studio .NET, SAP R3, Perl, COBOL, C#, Eclipse (integrated development environment software), AJAX, Common Lisp, Prolog (computer programming), Assembly (computer programming), ABAP, C++, interfacing techniques, Ruby (computer programming), Scala, Haskell, JavaScript, SAS language, Apache Maven, Pascal (computer programming), ASP.NET, KDevelop, Python (computer programming), Xcode, ML (computer programming), MATLAB, STAF, Puppet (tools for software configuration management), Swift (computer programming), R, Groovy, consultation methods, OpenEdge Advanced Business Language, Salt (tools for software configuration management), Objective-C, legal requirements of ICT products, TypeScript, VBScript, Jenkins (tools for software configuration management), statistics, Lisp, Microsoft Visual C++, Ansible, Java (computer programming), Scratch (computer programming), APL, PHP",
ICT business analysis manager,2511.7,ICT business analysis managers identify areas where information system changes are needed to support business plans and monitor the impact in terms of change management. They contribute to the general ICT functional requirements of the business organisation. ICT business analysis managers analyse business needs and translate them into ICT solutions.,"ICT business analysis managers, IT business analysis director, IT business analysis manager, IT commercial analysis manager, ICT commercial analysis manager, lead IT business analyst","track key performance indicators, implement strategic planning, create business process models, propose ICT solutions to business problems, design process, coordinate technological activities, provide ICT consulting advice, manage ICT project, improve business processes, provide cost benefit analysis reports, analyse business requirements, define technical requirements, write work-related reports, make strategic business decisions, perform business analysis","business process modelling, decision support systems, business processes, ICT security legislation","execute analytical mathematical calculations, communicate with customers, perform data mining, provide training on technological business developments, apply change management, use different communication channels, adapt to changing situations","business strategy concepts, systems development life-cycle, data mining, information extraction, ICT market, visual presentation techniques",
ICT accessibility tester,2519.6.2,"ICT accessibility testers evaluate websites, software applications, systems or user interface components with regards to friendliness, operability of the navigation and visibility to all types of users, especially including those with special needs or disabilities.","accessibility testers, accessibility test specialist, usability tester","assess users' interaction with ICT applications, conduct research interview, test system accessibility for users with special needs, address problems critically, report test findings, execute software tests, provide software testing documentation, use experience map, execute ICT user research activities, test for emotional patterns, measure software usability, replicate customer software issues, test for behavioural patterns","World Wide Web Consortium standards, human-computer interaction, application usability, levels of software testing, ICT accessibility standards, behavioural science","design user interface, conduct ICT code review, develop automated software tests, give live presentation, debug software, use scripting programming, develop ICT test suite, use markup languages, manage schedule of tasks","JavaScript, Lean project management, cognitive psychology, ICT debugging tools, MDX, Process-based management, tools for ICT test automation, N1QL, XQuery, AJAX, LINQ, LDAP, Agile project management, web programming, PHP, query languages, resource description framework query language, ICT project management methodologies, SPARQL",
ICT system tester,2519.6.4,ICT system testers perform testing activities and some test planning activities. They may also debug and repair ICT systems and components although this mainly corresponds to designers and developers. They ensure that all systems and components function properly before delivering them to internal and external clients.,"ICT systems test engineer, ICT systems testers, ICT systems tester, systems tester, IT system tester","perform security vulnerability assessments, address problems critically, execute software tests, apply ICT systems theory, report test findings, replicate customer software issues, identify ICT system weaknesses, manage system testing, provide software testing documentation","levels of software testing, systems theory, software anomalies","use scripting programming, give live presentation, perform software recovery testing, execute integration testing, develop ICT test suite, conduct ICT code review, debug software, measure software usability, solve ICT system problems, monitor system performance, develop automated software tests, manage schedule of tasks","Agile project management, Lean project management, ICT network simulation, XQuery, LINQ, SPARQL, MDX, LDAP, Process-based management, query languages, ICT system integration, ICT project management methodologies, resource description framework query language, ICT debugging tools, N1QL, ICT system programming, tools for ICT test automation",
embedded systems software developer,2514.2.1,"Embedded systems software developers program, implement, document and maintain software to be run on an embedded system.","embedded systems designer, embedded systems software developers, embedded software developerl embedded systems engineer, embedded system software programmer, embedded system software developer, embedded software programmer","debug software, develop software prototype, provide technical documentation, use software libraries, develop ICT device driver, utilise computer-aided software engineering tools, create flowchart diagram, interpret technical texts, analyse software specifications, use software design patterns","embedded systems, Internet of Things, ICT debugging tools, integrated development environment software, computer programming, tools for software configuration management","design user interface, use object-oriented programming, develop creative ideas, use logic programming, develop automated migration methods, use functional programming, use concurrent programming, use automatic programming, integrate system components, collect customer feedback on applications, adapt to changes in technological development plans","ASP.NET, APL, Salt (tools for software configuration management), Visual Studio .NET, Ansible, Eclipse (integrated development environment software), Ruby (computer programming), C#, Perl, MATLAB, Scala, Groovy, Microsoft Visual C++, Objective-C, software anomalies, ML (computer programming), Haskell, R, Prolog (computer programming), JavaScript, COBOL, VBScript, Xcode, ICT security legislation, AJAX, Java (computer programming), Lisp, Assembly (computer programming), Puppet (tools for software configuration management), C++, Jenkins (tools for software configuration management), object-oriented modelling, Python (computer programming), Common Lisp, Swift (computer programming), PHP, Pascal (computer programming), KDevelop, Apache Maven, STAF, World Wide Web Consortium standards, Scratch (computer programming), ABAP, SAS language, SAP R3, OpenEdge Advanced Business Language, TypeScript",
ICT usability tester,2519.6.5,"ICT usability testers ensure compliance with requirements and strive for optimal usability within the software engineering cycle phases (analysis, design, implementation, and deployment). They also work closely with users (analysts) to research for and document user profiles, analyse tasks, workflows, and user scenarios.","user-friendliness tester, usability developer, usability testers, usability specialist","execute software tests, measure software usability, provide software testing documentation, address problems critically, assess users' interaction with ICT applications, conduct research interview, test for behavioural patterns, report test findings, execute ICT user research activities, replicate customer software issues, use experience map, test for emotional patterns, create website wireframe","levels of software testing, behavioural science, human-computer interaction, application usability","conduct ICT code review, develop ICT test suite, develop automated software tests, use scripting programming, use markup languages, debug software, manage schedule of tasks, design user interface","resource description framework query language, JavaScript, web programming, AJAX, Agile project management, Lean project management, MDX, tools for ICT test automation, ICT project management methodologies, SPARQL, cognitive psychology, ICT debugging tools, PHP, unstructured data, LINQ, query languages, XQuery, LDAP, N1QL, Process-based management, visual presentation techniques",
numerical tool and process control programmer,2514.4,"Numerical tool and process control programmers develop computer programs to control automatic machines and equipment involved in manufacturing processes. They analyse blueprints and job orders, conduct computer simulations and trial runs.","numerical process control operator, numerical tool programmer, numerical process control tool setting operator, numerical tool maker, numerical tool setting operator, numerical process control  set up operator, numerical process control programmer, numerical tool machine set up operator, numerical tool machine operator, numerical process control supervisor, numerical tool l programme setter, numerical tool setter","use measurement instruments, read standard blueprints, set up the controller of a machine, apply control process statistical methods, use a computer, troubleshoot, program a CNC controller, use CAD software, ensure equipment availability","TypeScript, computer programming, Assembly (computer programming), Java (computer programming), Pascal (computer programming), C++, Microsoft Visual C++, APL, Common Lisp, ASP.NET, CAD software, Scratch (computer programming), Smalltalk (computer programming), Scala, ABAP, Objective-C, COBOL, R, Visual Studio .NET, AJAX, MATLAB, ML (computer programming), CoffeeScript, C#, quality and cycle time optimisation, Prolog (computer programming), JavaScript, Erlang, Perl, Ruby (computer programming), ICT system programming, Groovy, SAP R3, Haskell, Lisp, blueprints, OpenEdge Advanced Business Language, SAS language, Swift (computer programming), VBScript, Python (computer programming), PHP, statistical process control","perform data analysis, tend lathe, use computer-aided engineering systems, provide technical documentation, use CAM software, use technical documentation, advise client on technical possibilities, advise on safety improvements","mathematics, 3D modelling, engineering principles, mechanics, engineering processes, manufacturing processes, electrical engineering, lathe machine parts",
ICT research consultant,2511.11,"ICT research consultants perform targeted ICT research and provide a final report to the client. They also use ICT tools to design questionnaires for surveys, analyse the results, write reports, present the results and make recommendations based on the research findings.","IT research consultant, ICT research specialist, ICT research advisor, ICT research consultants, IT research advisor, IT research specialist","execute ICT user research activities, provide technical documentation, apply statistical analysis techniques, conduct qualitative research, conduct scholarly research, develop software prototype, create prototype of user experience solutions, conduct research interview, utilise methodologies for user centered design, interact with users to gather requirements, innovate in ICT, conduct quantitative research, carry out internet research, provide user documentation, execute analytical mathematical calculations, apply reverse engineering, conduct literature research, consult with business clients, plan research process","scientific research methodology, innovation processes","report analysis results, perform data mining, monitor ICT research, provide written content, create solutions to problems, optimise choice of ICT solution, provide multimedia content","resource description framework query language, ICT market, N1QL, information extraction, MDX, query languages, LDAP, information categorisation, LINQ, web analytics, emergent technologies, ICT system user requirements, XQuery, SPARQL",
data quality specialist,2519.1,"Data quality specialists review organisation's data for accuracy, recommend enhancements to record systems and data acquisition processes and assess referential and historical integrity of data. They also develop documents and maintain data quality goals and standards and oversee an organisation's data privacy policy and monitor compliance of data flows against data quality standards.","data quality expert, data integrity officer, data quality officer, data integrity specialist, data quality specialists","utilise regular expressions, manage data, establish data processes, process data, implement data quality processes, address problems critically, design database scheme, perform data cleansing, normalise data, report analysis results, handle data samples, define data quality criteria, manage database, manage standards for data exchange","information structure, query languages, database, resource description framework query language","perform project management, build business relationships, manage schedule of tasks, execute analytical mathematical calculations, perform data analysis, train employees, execute ICT audits","visual presentation techniques, XQuery, N1QL, MDX, SPARQL, data quality assessment, LDAP, statistics, LINQ, business processes",
ICT integration tester,2519.6.3,"ICT integration testers perform testsÂ in groups of system components, units or even applications. They group them in larger aggregates and apply integration test plans on them. They oversee the complexity of relations between different components.","compatibility tester, IT compatibility tester, module integration tester, integration testers, ICT compatibility tester, module compatibility tester","execute software tests, execute integration testing, replicate customer software issues, address problems critically, integrate system components, report test findings, manage system testing, provide software testing documentation","levels of software testing, software anomalies","perform software recovery testing, use scripting programming, conduct ICT code review, debug software, manage schedule of tasks, develop ICT test suite, develop automated software tests","query languages, SPARQL, MDX, tools for ICT test automation, LDAP, ICT performance analysis methods, LINQ, XQuery, N1QL, ICT network simulation, Lean project management, ICT debugging tools, resource description framework query language, Process-based management, Agile project management, ICT project management methodologies, ICT infrastructure",
ICT auditor manager,2519.2,"ICT auditor managers monitor ICT auditors responsible for auditing information systems, platforms, and operating procedures in accordance with established corporate standards for efficiency, accuracy and security. They evaluate ICT infrastructure in terms of risk to the organisation and establish controls to mitigate loss. They determine and recommend improvements in the current risk management controls and in the implementation of system changes or upgrades.","ICT audit manager, ICT auditor managers, information technology audit manager, IT audit manager","monitor technology trends, implement ICT risk management, perform contract compliance audits, develop audit plan, prepare financial auditing reports, ensure adherence to organisational ICT standards, identify legal requirements, execute ICT audits, manage standard enterprise resource planning system, develop ICT workflow, ensure compliance with legal requirements, build business relationships, manage IT security compliances","quality standards, control objectives for information and related technology, ICT project management, audit techniques, cyber security","implement corporate governance, use markup languages, develop information security strategy, manage changes in ICT system, provide technical documentation, coach employees, ensure information privacy, train employees, develop ICT test suite","PHP, organisational resilience, information confidentiality, information structure, ICT security standards, systems development life-cycle, ICT process quality models, web programming, AJAX, JavaScript, ICT quality policy, cloud technologies, ICT security legislation, legal requirements of ICT products",
ethical hacker,2529.3,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.","vulnerability analyst, ethical hackers, ICT security tester, system security tester, network security tester","address problems critically, provide technical documentation, monitor system performance, execute software tests, develop code exploits, execute ICT audits, perform security vulnerability assessments, analyse the context of an organisation, identify ICT system weaknesses, identify ICT security risks","software anomalies, computer forensics, penetration testing tool, cyber attack counter-measures, tools for ICT test automation, legal requirements of ICT products, web application security threats","maintain ICT server, define security policies, solve ICT system problems, perform project management, manage IT security compliances","ICT network security risks, SaaS (service-oriented modelling), information confidentiality, Hybrid model, levels of software testing, organisational resilience, Internet of Things, information security strategy, ICT security legislation, cyber security, service-oriented modelling, Outsourcing model, ICT security standards, Open source model, ICT encryption, Nexpose, internet governance, WhiteHat Sentinel, Nessus, proxy servers",
ICT security manager,2529.7,"ICT security managers propose and implement necessary security updates. They advise, support, inform and provide training and security awareness and take direct action on all or part of a network or system.
","security coordinator, ICT security managers, ICT technical security expert, information security manager, IT security manager, ICT security chief, IT security chief","lead disaster recovery exercises, define security policies, implement ICT risk management, maintain ICT identity management, manage disaster recovery plans, solve ICT system problems, establish an ICT security prevention plan, manage IT security compliances, develop information security strategy","ICT security standards, ICT problem management techniques, computer forensics, internal risk management policy, legal requirements of ICT products, ICT project management, Internet of Things, ICT quality policy, ICT system user requirements, information security strategy, internet governance","define technology strategy, use ICT ticketing system, execute ICT audits, provide technical documentation, identify ICT security risks","levels of software testing, audit techniques, tools for ICT test automation, ICT process quality models, SaaS (service-oriented modelling), systems development life-cycle, Open source model, information confidentiality, cyber attack counter-measures, cyber security, ICT encryption, investment analysis, ICT recovery techniques, ICT network security risks, mobile device management, decision support systems, Outsourcing model, Hybrid model, web application security threats, organisational resilience, service-oriented modelling, ICT security legislation",
knowledge engineer,2529.8,"Knowledge engineers integrate structured knowledge into computer systems (knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods. They are also responsible for eliciting or extracting knowledge from information sources, maintaining this knowledge, and making it available to the organisation or users. To achieve this, they are aware of knowledge representation and maintenance techniques (rules, frames, semantic nets, ontologies) and use knowledge extraction techniques and tools. They can design and build expert or artificial intelligence systems that use this knowledge.","taxonomist, knowledge engineers, linked data engineer, knowledge officer, information engineer","define technical requirements, manage ICT semantic integration, create semantic trees, manage database, apply ICT systems theory, manage business knowledge, use markup languages, analyse business requirements, assess ICT knowledge","business process modelling, business intelligence, web programming, principles of artificial intelligence, database development tools, information extraction, resource description framework query language, natural language processing, systems theory, task algorithmisation, systems development life-cycle, information structure","design database scheme, create database diagrams, define database physical structure, design application interfaces, utilise decision support system, build business relationships","ASP.NET, Scratch (computer programming), Smalltalk (computer programming), Prolog (computer programming), JavaScript, ABAP, R, MATLAB, SAP R3, information categorisation, ICT project management, Scala, C#, visual presentation techniques, OpenEdge Advanced Business Language, Ruby (computer programming), Objective-C, Visual Studio .NET, cloud technologies, computer programming, unstructured data, information architecture, PHP, TypeScript, Python (computer programming), ICT security legislation, N1QL, CoffeeScript, Erlang, LINQ, Groovy, Swift (computer programming), AJAX, decision support systems, Assembly (computer programming), cognitive psychology, Lisp, SAS language, Perl, data mining, APL, Java (computer programming), Common Lisp, SPARQL, Microsoft Visual C++, ML (computer programming), COBOL, Pascal (computer programming), C++, VBScript, Haskell",
ICT network administrator,2522.1.1,"ICT network administrators maintain operation of a reliable, secure, and efficient data communications network, including LAN, WAN, intranet, and internet. They perform network address assignment, management and implementation of routing protocols such as ISIS, OSPF, BGP, routing table configurations and certain implementations of authentication. They perform maintenance and administration of servers (file servers, VPN gateways, intrusion detection systems), desktop computers, printers, routers, switches, firewalls, phones, IP communications, personal digital assistants, smartphones, software deployment, security updates and patches as well as a vast array of additional technologies inclusive of both hardware and software.","network administrators, network support, network manager, network specialist, networks administrator","apply ICT system usage policies, provide technical documentation, perform backups, manage email hosting service, maintain internet protocol configuration, analyse network bandwidth requirements, install electronic communication equipment, interpret technical texts, adjust ICT system capacity, define firewall rules, design computer network, integrate system components, implement ICT network diagnostic tools, manage ICT virtualisation machines, forecast future ICT network needs","ICT network security risks, cloud technologies, solution deployment, network management system tools, ICT security legislation, procurement of ICT network equipment, ICT network routing, computer programming, ICT system programming, ICT performance analysis methods, internet governance, quality assurance methodologies","acquire system component, maintain ICT server, optimise choice of ICT solution, apply system organisational policies, execute ICT audits, utilise computer-aided software engineering tools, prepare licence agreements, install signal repeaters, provide technical training, provide ICT system training","C++, BlackBerry, ICT system user requirements, Perl, ABAP, proxy servers, VBScript, Microsoft Visual C++, R, Objective-C, Ruby (computer programming), Prolog (computer programming), ML (computer programming), Assembly (computer programming), Lisp, organisational policies, C#, COBOL, Groovy, OpenEdge Advanced Business Language, Python (computer programming), ASP.NET, Android (mobile operating systems), PHP, Erlang, Common Lisp, MATLAB, Cisco, CoffeeScript, mobile operating systems, SAS language, Smalltalk (computer programming), iOS, AJAX, SAP R3, Windows Phone, TypeScript, Pascal (computer programming), Haskell, Scala, Swift (computer programming), Visual Studio .NET, Java (computer programming), Scratch (computer programming), APL, JavaScript",
user interface developer,2512.4,"User interface developers implement, code, document and maintain the interface of a software system by using front-end development technologies.","front end developer, UI programmer, user interface developers, UI developers, UI developer, user interface engineer","develop software prototype, use software libraries, interpret technical texts, design graphics, analyse software specifications, utilise methodologies for user centered design, design user interface, draw design sketches, use software design patterns","World Wide Web Consortium standards, web programming, computer programming, integrated development environment software, software UI design patterns, graphics editor software, style sheet languages","use markup languages, use concurrent programming, debug software, utilise computer-aided software engineering tools, use scripting programming, create flowchart diagram, use functional programming, use automatic programming, provide technical documentation, use logic programming, use object-oriented programming","Jenkins (tools for software configuration management), ICT project management, Assembly (computer programming), Perl, R, CSS, Scratch (computer programming), OpenEdge Advanced Business Language, Apache Maven, Ansible, STAF, Sass, Java (computer programming), Groovy, SketchBook Pro, Lisp, Puppet (tools for software configuration management), Microsoft Visual C++, Objective-C, Python (computer programming), Salt (tools for software configuration management), ASP.NET, VBScript, Smalltalk (computer programming), Xcode, LESS, Haskell, SAP R3, APL, human-computer interaction, Microsoft Visio, PHP, C++, ABAP, JSSS, Scala, Eclipse (integrated development environment software), MATLAB, SAS language, JavaScript, C#, TypeScript, Swift (computer programming), Visual Studio .NET, CoffeeScript, AJAX, KDevelop, COBOL, Synfig, Adobe Illustrator, Pascal (computer programming), Erlang, software interaction design, ICT debugging tools, Prolog (computer programming), Vagrant, tools for software configuration management, Adobe Photoshop, Ruby (computer programming), ML (computer programming), Common Lisp, GIMP (graphics editor software)",
database administrator,2521.1,"Database administrators test, implement and administer computer databases. They use their expertise in database management systems to plan, coordinate and implement security measures to safeguard computer databases. They also use scripts and configuration files to tailor a database to users' needs.","database manager, DBA, database administrators, data manager, data administrator, database configurator, data base administrator, data base administrators","apply company policies, administer ICT system, maintain database security, define database physical structure, balance database resources, operate relational database management system, maintain database performance, perform backups, design database backup specifications, create data models, perform ICT troubleshooting, manage database, use scripting programming, interpret technical texts, design database scheme","data quality assessment, query languages, system backup best practice, distributed computing, database management systems, data storage, database development tools, data models, information structure, resource description framework query language","provide ICT support, support ICT system users, estimate duration of work, use different communication channels, provide technical training, use automatic programming, execute ICT audits, provide technical documentation","LDAP, OpenEdge Database, MySQL, SPARQL, Filemaker (database management systems), PostgreSQL, Microsoft Access, business intelligence, MDX, N1QL, IBM Informix, online analytical processing, SQL Server, Oracle Relational Database, quality assurance methodologies, ObjectStore, XQuery, LINQ, DB2, Teradata Database",
database designer,2521.2,"Database designers specify the database's logical structure, processes, and information flows. They design data models and databases to serve data acquisition.","data architect, database designers, data base designers, database architect, data base designer, database design engineer, data model designer","develop automated migration methods, manage standards for data exchange, apply ICT systems theory, perform data analysis, create software design, operate relational database management system, design database scheme, create data sets, write database documentation, assess ICT knowledge, create database diagrams, analyse business requirements, manage database, use markup languages, define technical requirements, migrate existing data","resource description framework query language, systems development life-cycle, information structure, systems theory, database management systems, business process modelling, ICT security legislation, query languages, web programming, database, database development tools","perform resource planning, apply technical communication skills, define database physical structure, use access control software, build business relationships, design database backup specifications","ML (computer programming), COBOL, IBM Informix, PostgreSQL, JavaScript, XQuery, CoffeeScript, computer programming, Oracle Relational Database, Assembly (computer programming), Microsoft Access, MDX, Prolog (computer programming), TypeScript, Visual Studio .NET, C#, SAS language, DB2, Pascal (computer programming), N1QL, MATLAB, ASP.NET, data models, Scratch (computer programming), Swift (computer programming), ICT project management methodologies, SAP R3, Objective-C, Groovy, LDAP, ObjectStore, Teradata Database, SPARQL, Perl, Smalltalk (computer programming), OpenEdge Advanced Business Language, Erlang, Common Lisp, Lisp, Microsoft Visual C++, VBScript, PHP, OpenEdge Database, AJAX, Scala, Python (computer programming), C++, LINQ, SQL Server, unstructured data, Java (computer programming), Ruby (computer programming), CA Datacom/DB, Agile project management, Filemaker (database management systems), ABAP, MySQL, Process-based management, APL, R, Lean project management, Haskell",
user interface designer,2513.3,"User interface designers are in charge of designing user interfaces for applications and systems. They perform layout, graphics and dialogues design activities as well as adaptation activities.","accessibility designer, user interface designers, UI designer","create website wireframe, build business relationships, design user interface, design process, translate requirement concepts into visual design, manage online content, develop creative ideas, test system accessibility for users with special needs, design graphics, interact with users to gather requirements, draw design sketches, use markup languages, define technical requirements, utilise methodologies for user centered design, assess users' interaction with ICT applications","task algorithmisation, software interaction design, graphics editor software, software UI design patterns, World Wide Web Consortium standards, human-computer interaction, ICT accessibility standards, application usability, ICT security legislation, web programming","analyse business requirements, perform online data analysis, manage localisation, create software design","Lisp, DevOps, ASP.NET, Python (computer programming), C#, SAP R3, OpenEdge Advanced Business Language, TypeScript, Prolog (computer programming), ABAP, C++, Synfig, quality standards, Ruby (computer programming), ICT project management methodologies, computer programming, Visual Studio .NET, GIMP (graphics editor software), cognitive psychology, Haskell, SketchBook Pro, Rapid application development, CoffeeScript, PHP, Scratch (computer programming), Microsoft Visio, Perl, business process modelling, Agile project management, Groovy, MATLAB, Common Lisp, Iterative development, COBOL, natural language processing, Process-based management, Incremental development, Smalltalk (computer programming), Agile development, Adobe Illustrator, JavaScript, Prototyping development, VBScript, Swift (computer programming), Pascal (computer programming), Assembly (computer programming), SAS language, Objective-C, Java (computer programming), Scala, Erlang, software design methodologies, ML (computer programming), AJAX, R, APL, Adobe Photoshop, Waterfall development, Spiral development, Lean project management",
system configurator,2522.1.2,System configurators tailor a computer system to the organisation's and users' needs. They adjust the base system and software to the needs of the customer.Â They perform configuration activities and scripting and ensure communication with users.,"system setup professional, system configuration professional, IT system configurator, ICT system configurator, systems configurator, system configurators","analyse software specifications, integrate system components, interpret technical texts, migrate existing data, develop automated migration methods, replicate customer software issues, create flowchart diagram, collect customer feedback on applications, configure ICT system","cognitive psychology, ICT performance analysis methods, ICT system user requirements, service-oriented modelling, ICT infrastructure","define technical requirements, use logic programming, create solutions to problems, use ICT ticketing system","Java (computer programming), mobile device software frameworks, interfacing techniques, VBScript, DB2, data storage, R, C#, Scratch (computer programming), software components libraries, Objective-C, Common Lisp, cloud technologies, SAS language, Smalltalk (computer programming), hardware components, IBM Informix, Microsoft Visual C++, SQL Server, embedded systems, computer programming, ASP.NET, Haskell, Open source model, Pascal (computer programming), TypeScript, ML (computer programming), Prolog (computer programming), Perl, ICT accessibility standards, ObjectStore, Filemaker (database management systems), Microsoft Access, ICT architectural frameworks, MATLAB, ICT debugging tools, hardware architectures, Scala, information architecture, OpenEdge Database, Python (computer programming), C++, CA Datacom/DB, Swift (computer programming), PHP, APL, AJAX, Assembly (computer programming), ICT power consumption, OpenEdge Advanced Business Language, MySQL, solution deployment, PostgreSQL, COBOL, Ruby (computer programming), ICT system integration, Erlang, Outsourcing model, database management systems, Groovy, software architecture models, Hybrid model, ABAP, Lisp, SaaS (service-oriented modelling), SAP R3, CoffeeScript, Oracle Relational Database, JavaScript, Teradata Database, Visual Studio .NET",
ICT system administrator,2522.1,"ICT system administrators are responsible for the upkeep, configuration, and reliable operation of computer and network systems, servers, workstations and peripheral devices. They may acquire, install, or upgrade computer components and software; automate routine tasks; write computer programs; troubleshoot; train and supervise staff; and provide technical support. They ensure optimum system integrity, security, backup and performance.","enterprise administrator, IT system administrator, ICT systems administrator, ICT sysadmins, IT systems administrator, ICT sysadmin, ICT systems administrators, system and network administrator, server administrator, system and networks administrator, network administrator, ICT system administrators, sysadmin","administer ICT system, maintain ICT system, interpret technical texts, provide technical documentation, manage changes in ICT system, solve ICT system problems, manage system security, migrate existing data, implement ICT recovery system, integrate system components, perform backups, support ICT system users, apply ICT system usage policies, manage system testing, apply system organisational policies, monitor system performance","hardware components, ICT infrastructure, quality assurance methodologies, ICT system programming, software components libraries, organisational policies, ICT system user requirements","acquire system component, adjust ICT system capacity, use different communication channels, execute integration testing, provide ICT system training, install signal repeaters, implement ICT risk management, interact with users to gather requirements","interfacing techniques, ICT system integration, systems development life-cycle, internet governance, ICT recovery techniques, engineering processes, information security strategy, ICT accessibility standards",
